user_id,total_events,unique_sessions,purchases,total_spent,active_days,events_per_session,spending_per_session,purchase_rate_per_session,add_to_carts,checkout_completion_rate,unique_products_total,dominant_category_share,dominant_category,dominant_device,segment
U00001,71,16,4,825.66,5,4.4375,51.60375,0.25,10.0,0.4,4.0,0.7530218249642711,Electronics,mobile,1
U00002,72,17,3,515.4300000000001,7,4.235294117647059,30.319411764705887,0.17647058823529413,13.0,0.23076923076923078,3.0,0.6693440428380186,Home,tablet,0
U00003,76,16,3,747.47,5,4.75,46.716875,0.1875,14.0,0.21428571428571427,3.0,1.0,Home,tablet,0
U00004,74,17,2,311.07,2,4.352941176470588,18.298235294117646,0.11764705882352941,10.0,0.2,2.0,1.0,Electronics,mobile,0
U00005,74,17,1,200.55,3,4.352941176470588,11.797058823529412,0.058823529411764705,15.0,0.06666666666666667,1.0,1.0,Home,mobile,0
U00006,33,10,5,961.82,5,3.3,96.182,0.5,4.0,1.25,4.0,1.0,Electronics,tablet,1
U00007,57,15,3,591.72,5,3.8,39.448,0.2,12.0,0.25,3.0,0.6394240519164469,Home,desktop,0
U00008,70,16,1,212.43,7,4.375,13.276875,0.0625,10.0,0.1,1.0,1.0,Home,tablet,0
U00009,55,13,3,471.62,2,4.230769230769231,36.27846153846154,0.23076923076923078,8.0,0.375,3.0,0.5706500996565032,Home,tablet,1
U00010,78,16,2,352.49,4,4.875,22.030625,0.125,21.0,0.09523809523809523,2.0,1.0,Home,mobile,0
U00011,60,12,1,107.02,5,5.0,8.918333333333333,0.08333333333333333,10.0,0.1,1.0,1.0,Home,mobile,0
U00012,41,11,0,0.0,5,3.727272727272727,0.0,0.0,6.0,0.0,,,Home,desktop,2
U00013,74,18,3,638.45,3,4.111111111111111,35.46944444444445,0.16666666666666666,13.0,0.23076923076923078,3.0,0.8341138695277626,Home,tablet,0
U00014,69,16,6,1172.18,2,4.3125,73.26125,0.375,15.0,0.4,6.0,1.0,Home,mobile,1
U00015,59,15,1,241.75,2,3.933333333333333,16.116666666666667,0.06666666666666667,18.0,0.05555555555555555,1.0,1.0,Home,tablet,0
U00016,50,10,5,828.8100000000001,3,5.0,82.881,0.5,18.0,0.2777777777777778,5.0,0.5868896369493611,Home,mobile,1
U00017,51,11,3,679.9000000000001,4,4.636363636363637,61.80909090909092,0.2727272727272727,11.0,0.2727272727272727,3.0,1.0,Electronics,tablet,0
U00018,62,15,2,383.27,2,4.133333333333334,25.551333333333332,0.13333333333333333,18.0,0.1111111111111111,2.0,1.0,Electronics,tablet,0
U00019,74,16,4,793.0,2,4.625,49.5625,0.25,15.0,0.26666666666666666,4.0,0.5977679697351829,Electronics,tablet,1
U00020,78,18,2,369.71000000000004,5,4.333333333333333,20.539444444444445,0.1111111111111111,17.0,0.11764705882352941,2.0,1.0,Electronics,tablet,0
